DATE,SPUSBOND,,,,,,,,
1/13/09,356.82,,,,,,,,
1/14/09,358.28,,,,,,,,
1/15/09,358.36,,,,,,,,
1/16/09,357.15,,,,,,,,
1/20/09,356.67,,,,,,,,
1/21/09,353.75,,,,,,,,
1/22/09,352.71,,,,,,,,
1/23/09,352.01,,,,,,,,
1/26/09,351.62,,,,,,,,
1/27/09,353.42,,,,,,,,
1/28/09,351.3,,,,,,,,
1/29/09,349.32,,,,,,,,
1/30/09,348.94,,,,,,,,
2/2/09,350.97,,,,,,,,
2/3/09,349.09,,,,,,,,
2/4/09,348.35,,,,,,,,
2/5/09,348.77,,,,,,,,
2/6/09,347.81,,,,,,,,
2/9/09,347.38,,,,,,,,
2/10/09,350.13,,,,,,,,
2/11/09,350.94,,,,,,,,
2/12/09,351.56,,,,,,,,
2/13/09,348.9,,,,,,,,
2/17/09,352.01,,,,,,,,
2/18/09,350.82,,,,,,,,
2/19/09,348.88,,,,,,,,
2/20/09,350.22,,,,,,,,
2/23/09,350.28,,,,,,,,
2/24/09,350.04,,,,,,,,
2/25/09,348.05,,,,,,,,
2/26/09,347.69,,,,,,,,
2/27/09,347.27,,,,,,,,
3/2/09,349.24,,,,,,,,
3/3/09,348.76,,,,,,,,
3/4/09,347.84,,,,,,,,
3/5/09,350.59,,,,,,,,
3/6/09,350.36,,,,,,,,
3/9/09,349.44,,,,,,,,
3/10/09,348.01,,,,,,,,
3/11/09,348.86,,,,,,,,
3/12/09,349.44,,,,,,,,
3/13/09,349.62,,,,,,,,
3/16/09,348.75,,,,,,,,
3/17/09,347.98,,,,,,,,
3/18/09,354.1,,,,,,,,
3/19/09,353.53,,,,,,,,
3/20/09,353.28,,,,,,,,
3/23/09,352.85,,,,,,,,
3/24/09,353.16,,,,,,,,
3/25/09,351.61,,,,,,,,
3/26/09,352.57,,,,,,,,
3/27/09,352.43,,,,,,,,
3/30/09,353.2,,,,,,,,
3/31/09,353.92,,,,,,,,
4/1/09,354.53,,,,,,,,
4/2/09,353.11,,,,,,,,
4/3/09,350.71,,,,,,,,
4/6/09,350.32,,,,,,,,
4/7/09,350.84,,,,,,,,
4/8/09,351.62,,,,,,,,
4/9/09,350.43,,,,,,,,
4/13/09,351.86,,,,,,,,
4/14/09,352.65,,,,,,,,
4/15/09,352.96,,,,,,,,
4/16/09,351.91,,,,,,,,
4/17/09,350.35,,,,,,,,
4/20/09,351.84,,,,,,,,
4/21/09,350.95,,,,,,,,
4/22/09,349.99,,,,,,,,
