DATE,SP57BOND,,,,,,,,
1/13/09,413.64,,,,,,,,
1/14/09,415.09,,,,,,,,
1/15/09,415.07,,,,,,,,
1/16/09,412.82,,,,,,,,
1/20/09,412.64,,,,,,,,
1/21/09,409.08,,,,,,,,
1/22/09,407.97,,,,,,,,
1/23/09,407.27,,,,,,,,
1/26/09,406.77,,,,,,,,
1/27/09,408.41,,,,,,,,
1/28/09,405.89,,,,,,,,
1/29/09,402.97,,,,,,,,
1/30/09,402.74,,,,,,,,
2/2/09,405.22,,,,,,,,
2/3/09,402.65,,,,,,,,
2/4/09,400.99,,,,,,,,
2/5/09,401.61,,,,,,,,
2/6/09,400.23,,,,,,,,
2/9/09,399.45,,,,,,,,
2/10/09,403.45,,,,,,,,
2/11/09,404.15,,,,,,,,
2/12/09,405.13,,,,,,,,
2/13/09,402.04,,,,,,,,
2/17/09,406.05,,,,,,,,
2/18/09,403.89,,,,,,,,
2/19/09,401.53,,,,,,,,
2/20/09,403.15,,,,,,,,
2/23/09,402.6,,,,,,,,
2/24/09,401.74,,,,,,,,
2/25/09,398.77,,,,,,,,
2/26/09,398.54,,,,,,,,
2/27/09,398.97,,,,,,,,
3/2/09,402.24,,,,,,,,
3/3/09,401.52,,,,,,,,
3/4/09,399.84,,,,,,,,
3/5/09,403.06,,,,,,,,
3/6/09,402.49,,,,,,,,
3/9/09,401.62,,,,,,,,
3/10/09,399.75,,,,,,,,
3/11/09,400.8,,,,,,,,
3/12/09,401.72,,,,,,,,
3/13/09,402.35,,,,,,,,
3/16/09,401.49,,,,,,,,
3/17/09,400.17,,,,,,,,
3/18/09,410.68,,,,,,,,
3/19/09,408.97,,,,,,,,
3/20/09,409.08,,,,,,,,
3/23/09,408.64,,,,,,,,
3/24/09,408.37,,,,,,,,
3/25/09,405.94,,,,,,,,
3/26/09,407.14,,,,,,,,
3/27/09,406.7,,,,,,,,
3/30/09,408.21,,,,,,,,
3/31/09,409.31,,,,,,,,
4/1/09,409.86,,,,,,,,
4/2/09,407.88,,,,,,,,
4/3/09,404.51,,,,,,,,
4/6/09,404.13,,,,,,,,
