Date,Open,High,Low,Close,Adj Close,Volume
2018-04-16,106.639999,106.839996,106.610001,106.820000,106.578140,3860800
2018-04-17,106.809998,106.889999,106.750000,106.849998,106.608078,2363000
2018-04-18,106.739998,106.750000,106.540001,106.550003,106.308762,2231700
2018-04-19,106.339996,106.389999,106.239998,106.290001,106.049347,10985100
2018-04-20,106.150002,106.239998,106.000000,106.000000,105.760002,2766000
2018-04-23,105.980003,106.010002,105.900002,105.949997,105.710114,2620800
2018-04-24,105.849998,105.919998,105.779999,105.809998,105.570427,3442300
2018-04-25,105.720001,105.739998,105.599998,105.669998,105.430748,3785000
2018-04-26,105.830002,105.900002,105.760002,105.849998,105.610336,4870300
2018-04-27,105.959999,106.040001,105.940002,105.980003,105.740051,3806400
2018-04-30,106.010002,106.120003,105.989998,106.000000,105.760002,4692600
2018-05-01,105.730003,105.790001,105.599998,105.669998,105.669998,3027000
2018-05-02,105.699997,105.779999,105.620003,105.669998,105.669998,2560800
2018-05-03,105.820000,105.949997,105.779999,105.790001,105.790001,4499200
2018-05-04,105.919998,105.930000,105.709999,105.860001,105.860001,2317100
2018-05-07,105.879997,105.879997,105.769997,105.809998,105.809998,1533400
2018-05-08,105.660004,105.750000,105.599998,105.690002,105.690002,2591700
2018-05-09,105.559998,105.639999,105.519997,105.570000,105.570000,2507500
2018-05-10,105.750000,105.820000,105.690002,105.809998,105.809998,2096700
2018-05-11,105.900002,105.900002,105.760002,105.860001,105.860001,1986600
2018-05-14,105.790001,105.849998,105.739998,105.847504,105.847504,1279536
